姓名,姓氏,字辈,性别,排序,出生日期,逝世日期,是否离世,籍贯,职业,父亲,母亲,配偶,是否入赘,是否招夫养子,生平简介,突出事迹,
贾演,贾,演,男,,1675-03-15,1738-09-20,是,京城,宁国公,,,,,,宁国公，贾家宁国府始祖。凭军功起家，袭封宁国公，地位显赫。,开府宁国，荫蔽子孙，为贾家奠定基业。,
贾代化,贾,代,男,,1698-07-22,1765-12-01,是,京城,京营节度使,贾演,,,,,贾代化，宁国府第二代主人，袭封一等将军。,镇守京畿，军务繁忙。,
贾敬,贾,敬,男,,1720-02-10,1789-04-15,是,京城,进士/道士,贾代化,,,,,贾敬，贾家宁国府第三代主人。年轻时中进士，后弃官修道。,科举出身，才华出众，后悟道修仙。,
贾珍,贾,珍,男,,1745-06-18,1802-11-25,是,京城,三品威烈将军,贾敬,,尤氏,,,,贾珍，宁国府第四代主人，袭封三品威烈将军。,挥霍无度，行为不检。
贾蓉,贾,蓉,男,,1768-01-30,1820-08-14,是,京城,轻车都尉,贾珍,,秦可卿,,,,贾蓉，贾珍之子，袭封轻车都尉。,平庸无才，依附权贵。
贾蔷,贾,蔷,男,,1770-05-12,1825-03-20,是,京城,闲散人员,贾珍,,,,,,贾蔷，贾珍从弟，宁国府远亲。,风流倜傥，善于交际。
贾兰,贾,兰,男,,1775-08-18,1830-11-25,是,京城,举人,贾珠,李纨,,,,,贾兰，贾珠之子，贾政长孙。,勤奋好学，励志科举。
尤氏,尤,,女,,1750-03-25,1815-07-20,是,京城,诰命夫人,,,贾珍,,,,尤氏身世一般，为人温和。,相夫教子，贤良淑德。
秦可卿,秦,,女,,1770-09-12,1789-03-15,是,京城,,,,贾蓉,,,秦可卿，容貌绝世，性格温柔。,德才兼备，可惜早逝。,
贾源,贾,源,男,,1670-11-08,1735-06-30,是,京城,荣国公,,,,,,荣国公，贾家荣国府始祖。与宁国公并称"二公"。,功成名就，荣封国公，泽被子孙。,
贾代善,贾,代,男,,1693-04-16,1762-10-08,是,京城,京营节度使,贾源,,,,,贾代善，荣国府第二代主人，袭封京营节度使。,延续祖业，维持家族荣耀。,
贾赦,贾,赦,男,,1715-08-22,1785-02-14,是,京城,一等将军,贾代善,史太君,邢氏,,,,贾赦，荣国府第三代主人，袭封一等将军。为人贪婪好色。,官居高位，却贪婪成性。
贾政,贾,政,男,,1720-05-30,1790-12-20,是,京城,工部员外郎,贾代善,史太君,王氏,,,,贾政，荣国府第三代主人。任工部员外郎，为人正直却迂腐。,为官清正，教子无方。
贾琏,贾,琏,男,,1740-10-05,1805-03-28,是,京城,同知,贾赦,,王熙凤,,,,贾琏，贾赦之子，任同知。为人机智却好色。,精明能干，善于交际。
贾珠,贾,珠,男,,1745-01-18,1770-09-10,是,京城,举人,贾政,王氏,李纨,,,,贾珠，贾政长子，自幼聪慧，十四岁中举，后英年早逝。,天资聪颖，科举有望。
