姓名,姓氏,字辈,性别,排序,出生日期,逝世日期,是否离世,籍贯,职业,父亲,母亲,配偶,是否入赘,是否招夫养子,生平简介,突出事迹
孔子,孔,言,男,10000,-553,-481,是,浙江,儒家圣人,,,,,,名丘，字仲尼。,万世师表
孔鲤,孔,公,男,9000,-542,-483,是,江苏,士,孔子,,,,,孔子之子,孔子之子
孔伷,孔,彦,男,9500,-492,-452,是,河南,儒学大师,孔鲤,,,,,子思,亚圣
孔穿,孔,承,男,8000,-402,-322,是,曲阜,士,孔伷,,,,,孔子第四代孙,学识渊博
孔谦,孔,闻,男,7000,-352,-282,是,曲阜,儒,孔穿,,,,,孔子第五代孙,
孔鲋,孔,子,男,7500,-266,-210,是,安徽,儒,孔谦,,,,,孔子第六代孙,传承儒学
孔腾,孔,子,男,6000,-203,-156,是,安徽,官员,孔鲋,,,,,孔子第七代孙,汉朝官员
孔忠,孔,子,男,5500,-156,-91,是,江苏,士,孔腾,,,,,孔子第八代孙,传承家学
孔武,孔,子,男,5000,-129,-58,是,浙江,官员,孔忠,,,,,孔子第九代孙,西汉官员
孔安,孔,子,男,4500,-87,2005/1/1,是,曲阜,儒,孔武,,,,,孔子第十代孙,传承儒学
孔衍,孔,衍,男,4000,2001/1/1,1962/1/1,是,曲阜,学者,孔安,,,,,孔子第十一代孙,东汉学者
孔耀,孔,毓,男,3000,1930/1/1,1989/1/1,是,浙江,官员,孔衍,,,,,孔子第十二代孙,东汉官员
孔融,孔,广,男,9500,153-01-01,208-01-01,是,浙江,名士,孔耀,,,,,孔子第十三代孙,建安七子
孔严,孔,广,男,3500,175-01-01,240-01-01,是,安徽,士,孔融,,,,,孔子第十四代孙,
孔震,孔,昭,男,3000,200-01-01,260-01-01,是,浙江,官员,孔严,,,,,孔子第十五代孙,西晋官员
孔熙,孔,宪,男,2500,230-01-01,290-01-01,是,河南,儒,孔震,,,,,孔子第十六代孙,
孔爽,孔,庆,男,2000,260-01-01,320-01-01,是,河南,士,孔熙,,,,,孔子第十七代孙,
孔灵,孔,繁,男,1800,290-01-01,350-01-01,是,河南,官员,孔爽,,,,,孔子第十八代孙,东晋官员
孔景,孔,祥,男,1500,320-01-01,380-01-01,是,山东,官员,孔灵,,,,,孔子第十九代孙,南朝官员
孔元,孔,令,男,1200,350-01-01,410-01-01,是,安徽,儒,孔景,,,,,孔子第二十代孙,
孔首,孔,德,男,1000,380-01-01,440-01-01,是,河南,官员,孔元,,,,,孔子第二十一代孙,
孔渠,孔,维,男,900,410-01-01,470-01-01,是,江苏,官员,孔首,,,,,孔子第二十二代孙,
孔茲,孔,垂,男,800,440-01-01,500-01-01,是,浙江,士,孔渠,,,,,孔子第二十三代孙,
孔季,孔,佑,男,700,470-01-01,530-01-01,是,河南,官员,孔茲,,,,,孔子第二十四代孙,
孔长,孔,长,男,600,500-01-01,560-01-01,是,安徽,士,孔季,,,,,孔子第二十五代孙,
孔靖,孔,绍,男,500,530-01-01,590-01-01,是,浙江,官员,孔长,,,,,孔子第二十六代孙,
孔豪,孔,扬,男,400,560-01-01,620-01-01,是,河南,士,孔靖,,,,,孔子第二十七代孙,
孔世,孔,显,男,300,590-01-01,650-01-01,是,安徽,官员,孔豪,,,,,孔子第二十八代孙,
孔休,孔,休,男,200,620-01-01,680-01-01,是,山东,士,孔世,,,,,孔子第二十九代孙,
孔纂,孔,建,男,150,650-01-01,710-01-01,是,山东,官员,孔休,,,,,孔子第三十代孙,
孔滋,孔,道,男,100,680-01-01,740-01-01,是,曲阜,士,孔纂,,,,,孔子第三十一代孙,
孔德,孔,敦,男,90,710-01-01,770-01-01,是,曲阜,官员,孔滋,,,,,孔子第三十二代孙,
孔奉,孔,安,男,80,740-01-01,800-01-01,是,河南,士,孔德,,,,,孔子第三十三代孙,
孔荥,孔,定,男,70,770-01-01,830-01-01,是,山东,官员,孔奉,,,,,孔子第三十四代孙,
孔振,孔,泰,男,60,800-01-01,860-01-01,是,河南,士,孔荥,,,,,孔子第三十五代孙,
孔昭,孔,振,男,50,830-01-01,890-01-01,是,曲阜,官员,孔振,,,,,孔子第三十六代孙,
孔炫,孔,家,男,40,860-01-01,920-01-01,是,河南,士,孔昭,,,,,孔子第三十七代孙,
孔策,孔,长,男,30,890-01-01,950-01-01,是,江苏,官员,孔炫,,,,,孔子第三十八代孙,
孔闵,孔,仁,男,20,920-01-01,980-01-01,是,河南,士,孔策,,,,,孔子第三十九代孙,
孔勤,孔,和,男,10,950-01-01,1010-01-01,是,山东,官员,孔闵,,,,,孔子第四十代孙,
孔祖,孔,礼,男,9,980-01-01,1040-01-01,是,山东,士,孔勤,,,,,孔子第四十一代孙,
孔惠,孔,永,男,8,1010-01-01,1070-01-01,是,江苏,官员,孔祖,,,,,孔子第四十二代孙,
孔次,孔,康,男,7,1040-01-01,1100-01-01,是,安徽,士,孔惠,,,,,孔子第四十三代孙,
孔休2,孔,新,男,6,1070-01-01,1130-01-01,是,安徽,官员,孔次,,,,,孔子第四十四代孙,
孔忠2,孔,圣,男,5,1100-01-01,1160-01-01,是,山东,士,孔休2,,,,,孔子第四十五代孙,
孔乘,孔,广,男,4,1130-01-01,1190-01-01,是,浙江,官员,孔忠2,,,,,孔子第四十六代孙,
孔元2,孔,达,男,3,1160-01-01,1220-01-01,是,河南,士,孔乘,,,,,孔子第四十七代孙,
孔德2,孔,明,男,2,1190-01-01,1250-01-01,是,浙江,官员,孔元2,,,,,孔子第四十八代孙,
孔克,孔,生,男,1,1220-01-01,1280-01-01,是,浙江,士,孔德2,,,,,孔子第四十九代孙,
孔思,孔,希,男,1,1250-01-01,1310-01-01,是,山东,官员,孔克,,,,,孔子第五十代孙,
孔克坚,孔,克,男,800,1316-01-01,1348-01-01,是,河南,官员,孔思,,,,,孔子第五十一代孙,
孔克慈,孔,克,男,500,1285-01-01,1345-01-01,是,山东,士,孔思,,,,,孔子第五十一代孙,
孔希文,孔,希,男,900,1340-01-01,1380-01-01,是,曲阜,学者,孔克坚,,,,,孔子第五十二代孙,
孔希孟,孔,希,男,600,1315-01-01,1375-01-01,是,河南,官员,孔克坚,,,,,孔子第五十二代孙,
孔希最,孔,希,男,700,1360-01-01,1400-01-01,是,山东,官员,孔希文,,,,,孔子第五十三代孙,
孔彦,孔,彦,男,600,1400-01-01,1460-01-01,是,浙江,官员,孔希最,,,,,孔子第五十四代孙,
孔承,孔,承,男,500,1430-01-01,1490-01-01,是,浙江,士,孔彦,,,,,孔子第五十五代孙,
孔宏,孔,宏,男,400,1460-01-01,1520-01-01,是,河南,官员,孔承,,,,,孔子第五十六代孙,
孔闻,孔,闻,男,300,1490-01-01,1550-01-01,是,浙江,士,孔宏,,,,,孔子第五十七代孙,
孔贞,孔,贞,男,200,1520-01-01,1580-01-01,是,河南,官员,孔闻,,,,,孔子第五十八代孙,
孔尚,孔,尚,男,150,1550-01-01,1610-01-01,是,曲阜,士,孔贞,,,,,孔子第五十九代孙,
孔衍2,孔,衍,男,100,1580-01-01,1640-01-01,是,江苏,官员,孔尚,,,,,孔子第六十代孙,
孔兴2,孔,兴,男,90,1610-01-01,1670-01-01,是,山东,士,孔衍2,,,,,孔子第六十一代孙,
孔振2,孔,振,男,80,1640-01-01,1700-01-01,是,河南,官员,孔兴2,,,,,孔子第六十二代孙,
孔毓2,孔,毓,男,70,1670-01-01,1730-01-01,是,安徽,官员,孔振2,,,,,孔子第六十三代孙,
孔传2,孔,传,男,60,1700-01-01,1760-01-01,是,江苏,士,孔毓2,,,,,孔子第六十四代孙,
孔广2,孔,广,男,50,1730-01-01,1790-01-01,是,山东,士,孔传2,,,,,孔子第六十五代孙,
孔宪2,孔,宪,男,40,1760-01-01,1820-01-01,是,河南,士,孔广2,,,,,孔子第六十六代孙,
孔繁2,孔,繁,男,30,1790-01-01,1850-01-01,是,河南,士,孔宪2,,,,,孔子第六十七代孙,
孔庆2,孔,庆,男,20,1820-01-01,1880-01-01,是,山东,官员,孔繁2,,,,,孔子第六十八代孙,
孔祥2,孔,祥,男,10,1850-01-01,1910/1/1,是,河南,官员,孔繁2,,,,,孔子第六十九代孙,
孔德3,孔,德,男,9,1880-01-01,1940/1/1,是,安徽,官员,孔祥2,,,,,孔子第七十代孙,
孔令,孔,令,男,8,1910/1/1,1970/1/1,是,山东,学者,孔德3,,,,,孔子第七十一代孙,
孔维,孔,维,男,7,1940/1/1,2000/1/1,是,江苏,学者,孔令,,,,,孔子第七十二代孙,
孔德4,孔,垂,男,6,1970/1/1,2030/1/1,是,山东,官员,孔维,,,,,孔子第七十三代孙,
孔佑,孔,佑,男,5,1848-01-01,1910/1/1,是,浙江,商人,孔祥2,,,,,孔子第74代孙,
孔祥熙,孔,祥,男,9000,1880-01-01,1946/1/1,是,安徽,政治家,孔祥2,,,,,孔子第75代孙,民国财政部长
孔垂,孔,垂,男,800,1885-01-01,1948/1/1,是,山东,官员,孔祥2,,,,,孔子第75代孙,
孔垂烺,孔,垂,男,700,1915/1/1,1980/1/1,是,河南,学者,孔垂,,,,,孔子第76代孙,
孔德成,孔,念,男,9500,1920/1/1,2008/1/1,是,山东,学者,孔佑,,,,,孔子第77代孙,最后一代衍圣公
孔德余,孔,念,男,600,1925/1/1,2010/1/1,是,江苏,商人,孔佑,,,,,孔子第77代孙,
公02000,孔,公,男,51,-522,-450,是,河南,士,吴氏,,,,,,
公02001,孔,公,男,6,-525,-461,是,江苏,士,孔言冎,,,,,,
公02002,孔,公,男,1,-524,-443,是,安徽,商,孔言僎,,,,,,
公02003,孔,公,男,80,-518,-450,是,山东,农,孔言傿,,,,,,
公02004,孔,公,男,50,-534,-456,是,河南,士,孔言偷,,,,,,
公02005,孔,公,男,31,-527,-462,是,曲阜,士,孔言冈,,,,,,
公02006,孔,公,男,97,-533,-457,是,浙江,农,孔言下,,,,,,
公02007,孔,公,男,98,-533,-444,是,山东,商,孔言兢,,,,,,
公02008,孔,公,男,72,-519,-444,是,安徽,工,高姑,,,,,,
